Record_ID,Order_ID,Production_Date,Plant_Location,Machine_ID,Machine_Type,Machine_Age_Years,Shift,Operator_ID,Supervisor_Name,Product_Line,Raw_Material,Supplier_Name,Batch_Size,Planned_Quantity,Actual_Quantity_Produced,Defect_Count,Quality_Grade,Inspection_Passed,Downtime_Minutes,Cycle_Time_Sec,Temperature_C,Humidity_Pct,Vibration_mm_s,Energy_Consumption_kWh,Unit_Cost_USD,Scrap_Cost_USD,Labor_Hours,OEE_Percent,Last_Maintenance_Days_Ago,Maintenance_Status,Remarks,Yield_Percent,Defect_Rate_Percent
512,ORD-93008,2026-08-06,Plant B,MC-022,CNC Lathe,8.7,Night,OP0116,S. Kumar,Aerospace Component,Copper,Poly Materials Inc,150,535,601,13,B,Not Recorded,21.1,44.87,68.4,34.5,2.57,55.7,19.06,128.79,8.37,69.9,57,Overdue,unknown issue,112.34,2.16
513,ORD-31155,2026-07-21,Plant D,MC-008,Conveyor Unit,1.9,Morning,Unknown,R. Sharma,Medical Device Part,Aluminum,Precision Components Co,150,582,520,8,Reject,Not Recorded,32.5,37.45,66.9,45.2,0.39,68.51,33.14,153.37,9.56,82.3,59,Scheduled,Routine check,89.35,1.54
514,ORD-66112,2026-02-07,Plant B,MC-023,Injection Molder,6.7,Morning,OP0096,Unknown,Metal Bracket,Aluminum,Global Alloys,150,449,393,8,Not Graded,No,0.5,27.01,77.5,38.0,2.2,124.34,34.24,239.89,8.02,74.6,3,OK,OK,87.53,2.04
515,ORD-30683,2026-05-25,Plant E,MC-016,Laser Cutter,2.2,Evening,OP0076,S. Kumar,Metal Bracket,Steel,Global Alloys,150,320,297,2,A+,Yes,10.2,41.49,83.0,52.6,0.83,176.52,22.42,28.91,8.0,51.3,54,Not Scheduled,No Remarks,92.81,0.67
516,ORD-95047,2026-07-13,Plant A,MC-024,Welding Robot,6.2,Evening,OP0078,A. Iyer,Automotive Parts,Unknown,Global Alloys,50,414,337,1,A,No,19.7,61.34,67.9,41.8,1.84,55.13,43.27,32.15,8.67,50.3,51,Not Scheduled,No Remarks,81.4,0.3
517,ORD-92756,2025-11-02,Plant C,MC-039,Laser Cutter,0.5,Morning,OP0061,Unknown,Metal Bracket,Steel,SteelCorp Ltd,200,563,487,10,Reject,Yes,9.9,64.83,74.3,54.7,4.19,151.59,2.9,24.26,5.89,41.9,55,Scheduled,OK,86.5,2.05
518,ORD-30123,2025-12-27,Plant C,MC-026,CNC Lathe,4.2,Evening,OP0070,N. Fernandes,Metal Bracket,Steel,MetalWorks Pvt Ltd,100,409,409,11,Reject,Yes,19.9,36.64,67.3,36.1,1.19,137.04,12.06,69.58,5.9,60.5,16,Not Scheduled,Power fluctuation,100.0,2.69
519,ORD-42457,2026-08-22,Plant C,MC-018,Conveyor Unit,10.4,Morning,OP0100,P. Rao,Medical Device Part,Steel,SteelCorp Ltd,50,598,545,9,A+,No,84.1,67.78,65.2,39.6,6.17,82.24,2.63,15.29,7.27,55.4,32,Not Scheduled,Material shortage,91.14,1.65
520,ORD-97460,2026-05-07,Plant E,MC-019,Press Brake,11.6,Night,OP0015,N. Fernandes,Electronics Housing,Polycarbonate,SteelCorp Ltd,300,642,561,11,Reject,Yes,53.5,50.77,88.9,52.2,0.92,118.63,15.52,100.56,9.65,88.6,9,Due,unknown issue,87.38,1.96
521,ORD-41119,2026-01-20,Plant A,MC-023,CNC Lathe,0.8,Night,OP0014,L. D'Souza,Home Appliance Component,Aluminum,Unknown,200,514,490,3,C,Not Recorded,0.3,35.99,59.0,28.3,0.96,113.9,21.38,49.85,10.98,76.8,40,OK,Routine check,95.33,0.61
522,ORD-43954,2025-11-10,Unknown,MC-036,Assembly Line,1.7,Night,OP0036,P. Rao,Consumer Plastics,ABS Plastic,Unknown,150,364,295,3,A,Yes,39.9,38.06,78.0,56.3,0.71,159.3,44.17,123.27,7.21,68.6,49,Overdue,Routine check,81.04,1.02
523,ORD-11883,2025-12-17,Plant A,MC-032,Assembly Line,10.2,Unknown,OP0093,R. Sharma,Packaging Unit,ABS Plastic,Unknown,150,473,385,9,Not Graded,Yes,13.3,45.35,66.3,59.5,0.49,141.27,28.75,157.34,10.32,66.5,26,Due,unknown issue,81.4,2.34
524,ORD-91399,2026-06-02,Plant A,MC-026,Laser Cutter,13.5,Morning,OP0104,Unknown,Automotive Parts,Aluminum,Global Alloys,50,524,396,12,A,Yes,17.6,53.04,71.3,33.7,1.43,82.93,9.82,112.45,7.52,51.2,81,Due,customer complaint logged,75.57,3.03
525,ORD-84792,2025-10-21,Plant E,MC-039,Injection Molder,3.2,Morning,OP0039,R. Sharma,Metal Bracket,Aluminum,Global Alloys,300,681,633,8,Reject,Yes,26.5,38.07,62.9,49.9,2.66,140.93,13.37,98.7,8.73,70.6,67,Not Scheduled,Power fluctuation,92.95,1.26
526,ORD-59981,2026-02-03,Plant D,MC-005,3D Printer,11.7,Night,OP0064,R. Sharma,Medical Device Part,Steel,Poly Materials Inc,250,619,506,11,C,No,18.2,46.65,68.0,66.8,2.9,107.12,15.88,118.0,8.24,64.6,25,Due,unknown issue,81.74,2.17
527,ORD-30319,2026-01-28,Plant B,MC-023,Laser Cutter,2.6,Morning,OP0018,P. Rao,Packaging Unit,Cast Iron,SteelCorp Ltd,200,344,335,5,Not Graded,Not Recorded,24.7,48.02,66.3,35.9,3.46,177.94,39.41,184.01,7.24,93.7,20,Due,Material shortage,97.38,1.49
528,ORD-79395,2026-05-22,Plant C,MC-020,CNC Mill,8.3,Evening,OP0087,R. Sharma,Aerospace Component,Copper,Precision Components Co,100,641,544,18,C,Yes,10.8,45.24,77.5,41.1,0.99,183.1,14.67,159.72,7.24,62.3,19,OK,No Remarks,84.87,3.31
529,ORD-91777,2025-12-21,Plant C,MC-004,3D Printer,13.0,Morning,OP0108,A. Iyer,Home Appliance Component,Aluminum,Global Alloys,150,215,201,5,B,Not Recorded,3.7,39.55,66.5,41.8,3.03,137.6,12.29,35.94,6.13,76.1,51,OK,unknown issue,93.49,2.49
530,ORD-69234,2026-01-30,Unknown,MC-040,Conveyor Unit,11.4,Morning,OP0041,L. D'Souza,Consumer Plastics,Polycarbonate,Global Alloys,150,566,565,13,B,Yes,10.4,31.87,74.5,38.2,0.15,101.13,25.19,226.87,7.08,86.0,53,Due,unknown issue,99.82,2.3
531,ORD-62246,2026-05-04,Plant A,MC-002,CNC Mill,13.7,Evening,OP0080,N. Fernandes,Automotive Parts,Steel,MetalWorks Pvt Ltd,150,630,577,10,C,Yes,2.2,35.42,79.1,53.4,0.54,103.69,31.83,192.1,6.97,80.0,40,OK,Material shortage,91.59,1.73
532,ORD-12762,2026-07-27,Plant A,MC-016,3D Printer,1.9,Morning,OP0057,M. Naidu,Industrial Fastener,Steel,Global Alloys,300,419,396,3,Not Graded,No,2.2,27.81,69.3,52.0,2.77,148.7,29.66,79.38,9.42,59.8,7,Scheduled,No Remarks,94.51,0.76
533,ORD-96587,2026-01-29,Plant E,MC-034,Injection Molder,5.0,Morning,OP0063,M. Naidu,Consumer Plastics,Unknown,Global Alloys,50,688,681,22,Not Graded,Yes,18.5,65.08,75.9,36.2,4.67,142.48,19.71,287.36,7.43,51.5,89,Due,Power fluctuation,98.98,3.23
534,ORD-21820,2026-05-14,Plant A,MC-019,Laser Cutter,9.0,Evening,OP0116,S. Kumar,Automotive Parts,Cast Iron,Unknown,150,436,411,10,B,Not Recorded,12.9,40.7,60.4,53.1,2.21,96.16,17.18,88.04,9.54,86.6,35,Due,Routine check,94.27,2.43
535,ORD-19643,2026-02-07,Plant E,MC-006,Injection Molder,9.4,Morning,OP0095,Unknown,Automotive Parts,Copper,Poly Materials Inc,50,435,396,6,B,Yes,3.7,54.96,63.7,30.7,3.35,110.33,43.04,201.52,4.43,46.6,51,Not Scheduled,unknown issue,91.03,1.52
536,ORD-67764,2026-09-04,Plant C,MC-024,CNC Lathe,11.6,Morning,OP0034,Unknown,Packaging Unit,Aluminum,Unknown,100,607,571,16,Not Graded,No,10.2,50.66,64.0,43.4,4.17,142.42,10.02,154.36,6.26,78.4,25,Not Scheduled,No Remarks,94.07,2.8
537,ORD-94264,2026-01-29,Plant B,MC-001,Conveyor Unit,7.8,Morning,OP0107,Unknown,Industrial Fastener,Polycarbonate,SteelCorp Ltd,100,361,324,8,A,No,24.9,27.7,66.9,37.4,0.08,127.46,19.95,154.93,9.07,78.6,29,OK,Material shortage,89.75,2.47
538,ORD-77021,2026-03-21,Plant C,MC-007,3D Printer,9.8,Evening,OP0082,R. Sharma,Packaging Unit,ABS Plastic,MetalWorks Pvt Ltd,200,345,276,6,B,Not Recorded,6.4,45.15,68.9,24.2,3.08,124.53,35.86,147.42,7.79,51.6,47,Not Scheduled,unknown issue,80.0,2.17
539,ORD-45083,2025-10-07,Plant B,MC-025,Injection Molder,11.5,Morning,OP0030,Unknown,Consumer Plastics,Steel,Unknown,50,473,417,8,A+,Yes,16.3,46.53,73.0,42.9,3.33,135.61,10.41,48.9,4.5,56.9,19,Due,Line stopped briefly,88.16,1.92
540,ORD-25825,2026-02-04,Plant D,MC-020,Stamping Press,13.8,Evening,OP0115,M. Naidu,Electronics Housing,Cast Iron,SteelCorp Ltd,150,472,385,9,A,Not Recorded,25.9,35.92,69.3,43.7,0.62,77.91,30.02,136.7,7.0,78.8,72,OK,No Remarks,81.57,2.34
541,ORD-75279,2026-07-07,Plant A,MC-006,Laser Cutter,3.4,Morning,OP0084,Unknown,Medical Device Part,Steel,MetalWorks Pvt Ltd,150,591,522,8,B,Not Recorded,2.5,41.12,64.8,36.4,2.12,100.46,20.77,96.48,8.09,74.7,1,Not Scheduled,customer complaint logged,88.32,1.53
542,ORD-64153,2026-03-08,Plant E,MC-020,CNC Lathe,0.4,Morning,OP0021,L. D'Souza,Industrial Fastener,Steel,MetalWorks Pvt Ltd,50,542,464,12,A,Yes,20.2,41.58,74.1,36.8,3.83,141.92,44.95,471.48,7.01,78.9,2,Overdue,Routine check,85.61,2.59
543,ORD-95302,2026-05-24,Plant E,MC-001,Stamping Press,6.7,Morning,OP0052,A. Iyer,Metal Bracket,Unknown,Global Alloys,175,421,380,6,B,Yes,16.6,56.62,60.7,30.8,2.21,58.48,18.95,89.07,8.22,54.6,81,Due,Material shortage,90.26,1.58
544,ORD-77973,2026-08-26,Plant B,MC-002,Welding Robot,11.6,Morning,OP0032,S. Kumar,Automotive Parts,ABS Plastic,SteelCorp Ltd,100,532,468,8,C,Yes,36.8,46.85,67.3,58.6,2.57,166.7,14.17,77.75,7.26,71.7,54,Overdue,Material shortage,87.97,1.71
545,ORD-49943,2026-09-01,Plant D,MC-039,CNC Lathe,12.8,Unknown,OP0095,S. Kumar,Metal Bracket,Copper,SteelCorp Ltd,175,588,602,12,Not Graded,Yes,24.3,59.87,66.7,32.9,3.06,43.71,14.48,141.95,7.38,92.1,7,Overdue,customer complaint logged,102.38,1.99
546,ORD-13032,2026-03-03,Plant B,MC-006,Laser Cutter,4.9,Night,OP0105,P. Rao,Consumer Plastics,ABS Plastic,SteelCorp Ltd,100,691,678,10,B,Yes,17.0,48.85,59.1,53.7,2.21,59.95,4.02,24.68,6.9,80.9,16,Scheduled,Late shift start,98.12,1.47
547,ORD-31720,2025-11-03,Plant B,MC-012,Welding Robot,10.6,Morning,OP0032,Unknown,Packaging Unit,Steel,SteelCorp Ltd,200,501,420,8,A,No,22.3,60.37,66.5,42.8,2.21,159.14,44.03,335.02,4.64,59.1,44,Due,customer complaint logged,83.83,1.9
548,ORD-39334,2025-11-12,Plant E,MC-008,Stamping Press,13.4,Morning,OP0059,A. Iyer,Packaging Unit,Aluminum,MetalWorks Pvt Ltd,150,367,363,10,B,Yes,12.2,27.63,85.4,33.7,0.33,112.55,6.92,59.4,8.81,85.5,29,Due,No Remarks,98.91,2.75
549,ORD-81073,2026-02-18,Plant B,MC-014,Injection Molder,7.6,Morning,OP0118,Unknown,Home Appliance Component,Polycarbonate,Global Alloys,150,551,534,9,A,Yes,18.0,31.61,69.5,31.3,0.56,176.17,4.06,31.37,8.71,50.8,16,OK,customer complaint logged,96.91,1.69
550,ORD-26591,2025-12-22,Plant D,MC-012,Conveyor Unit,6.0,Morning,OP0045,L. D'Souza,Electronics Housing,ABS Plastic,SteelCorp Ltd,150,516,466,10,B,Yes,4.0,37.85,68.3,53.8,3.27,108.56,18.56,103.45,7.07,58.4,2,Due,Routine check,90.31,2.15
551,ORD-33264,2026-09-15,Plant A,MC-001,Stamping Press,0.4,Evening,Unknown,Unknown,Consumer Plastics,Aluminum,Global Alloys,250,518,489,11,C,Yes,4.7,48.99,52.2,50.4,0.95,98.13,12.32,78.24,6.32,69.5,49,OK,Power fluctuation,94.4,2.25
552,ORD-55036,2026-04-28,Plant E,MC-034,Welding Robot,13.9,Evening,OP0092,M. Naidu,Aerospace Component,Steel,Global Alloys,300,612,555,14,B,No,22.9,36.79,64.2,36.2,4.73,120.14,15.68,165.85,9.39,79.9,72,Scheduled,unknown issue,90.69,2.52
553,ORD-34238,2026-01-12,Plant C,MC-013,CNC Mill,14.5,Morning,OP0076,N. Fernandes,Home Appliance Component,Polycarbonate,SteelCorp Ltd,300,257,455,9,Reject,Yes,5.5,31.36,60.0,38.6,1.8,156.3,25.7,128.6,8.37,97.6,3,OK,customer complaint logged,177.04,1.98
554,ORD-77174,2026-03-07,Plant A,MC-001,CNC Lathe,1.8,Morning,OP0031,N. Fernandes,Industrial Fastener,Steel,SteelCorp Ltd,50,460,489,14,A+,Yes,6.3,21.5,62.3,41.5,1.2,121.46,20.91,263.02,5.75,86.4,25,OK,Material shortage,106.3,2.86
555,ORD-58559,2026-05-24,Plant D,MC-009,CNC Lathe,11.7,Morning,OP0053,Unknown,Automotive Parts,Aluminum,Unknown,100,389,382,11,B,No,20.5,40.06,77.3,36.7,1.15,20.97,18.49,139.97,4.87,61.3,4,Due,No Remarks,98.2,2.88
556,ORD-54949,2025-11-17,Plant A,MC-010,3D Printer,3.0,Morning,OP0021,A. Iyer,Home Appliance Component,Aluminum,Unknown,300,282,280,3,Not Graded,Yes,2.1,44.66,60.2,44.7,3.99,138.22,35.15,59.55,8.42,86.6,62,Overdue,No Remarks,99.29,1.07
557,ORD-99034,2025-12-16,Plant A,MC-028,Stamping Press,13.6,Morning,OP0073,Unknown,Aerospace Component,Unknown,SteelCorp Ltd,150,535,494,5,B,No,21.8,56.38,68.8,61.2,4.19,147.83,32.63,109.62,7.03,95.6,23,OK,customer complaint logged,92.34,1.01
558,ORD-24478,2026-02-16,Plant D,MC-030,CNC Mill,15.0,Night,OP0005,M. Naidu,Industrial Fastener,Unknown,SteelCorp Ltd,100,705,723,19,B,Not Recorded,7.1,54.32,58.9,40.6,1.91,134.05,16.7,167.16,8.76,88.2,62,Not Scheduled,customer complaint logged,102.55,2.63
559,ORD-40258,2026-06-28,Plant B,MC-026,Conveyor Unit,1.1,Night,OP0110,A. Iyer,Consumer Plastics,Polycarbonate,Precision Components Co,100,518,436,9,Not Graded,Yes,5.0,51.05,68.7,43.2,1.47,74.22,36.69,270.91,7.04,52.0,47,OK,Material shortage,84.17,2.06
560,ord4229,2025-11-29,Plant A,MC-004,Laser Cutter,13.8,Evening,OP0038,L. D'Souza,Medical Device Part,Copper,Poly Materials Inc,200,610,540,11,A,No,8.5,28.34,56.1,52.2,2.28,147.39,3.47,20.31,7.43,55.8,26,Not Scheduled,Power fluctuation,88.52,2.04
561,ORD-74804,2026-08-12,Plant D,MC-025,CNC Mill,5.5,Night,OP0057,L. D'Souza,Aerospace Component,Unknown,SteelCorp Ltd,100,625,588,13,A+,Yes,0.4,39.03,61.5,59.6,1.57,92.05,40.88,367.14,8.05,69.7,42,Overdue,No Remarks,94.08,2.21
562,ORD-60436,2025-12-01,Plant C,MC-021,Press Brake,11.1,Night,OP0079,R. Sharma,Packaging Unit,Copper,Global Alloys,200,619,516,12,Not Graded,Not Recorded,25.3,54.45,57.6,52.9,0.25,50.71,15.58,109.16,8.32,67.4,11,Not Scheduled,Late shift start,83.36,2.33
563,ORD-47507,2026-03-10,Plant C,MC-014,3D Printer,1.4,Morning,OP0097,S. Kumar,Electronics Housing,ABS Plastic,Precision Components Co,150,487,472,10,B,Yes,11.3,52.09,62.5,63.9,3.74,120.3,16.94,85.02,8.24,77.4,7,OK,customer complaint logged,96.92,2.12
564,ORD-65725,2026-05-01,Plant A,MC-006,Conveyor Unit,11.4,Morning,OP0029,Unknown,Consumer Plastics,ABS Plastic,Global Alloys,50,239,238,3,Not Graded,Yes,23.3,47.29,74.4,39.8,2.77,110.92,14.46,39.53,7.21,90.6,52,Not Scheduled,No Remarks,99.58,1.26
565,ORD-95463,2025-12-09,Plant C,MC-005,Press Brake,4.6,Morning,OP0080,M. Naidu,Packaging Unit,Unknown,Unknown,200,580,551,6,Not Graded,Not Recorded,7.9,51.38,72.3,70.1,0.1,181.53,29.85,110.27,9.76,54.1,50,Not Scheduled,Material shortage,95.0,1.09
566,ORD-19789,2025-12-22,Plant E,MC-036,3D Printer,13.0,Evening,OP0005,A. Iyer,Packaging Unit,Copper,SteelCorp Ltd,200,529,528,6,B,Not Recorded,2.9,44.95,79.1,50.1,1.09,142.69,5.55,25.87,7.77,68.2,41,Overdue,Routine check,99.81,1.14
567,ORD-64725,2025-12-22,Plant C,MC-024,Stamping Press,2.1,Night,OP0089,R. Sharma,Consumer Plastics,Unknown,Unknown,100,338,307,4,A,Not Recorded,9.7,48.01,74.1,31.1,2.02,3.47,8.25,23.72,9.82,61.7,41,Overdue,Routine check,90.83,1.3
568,ORD-54676,2026-04-12,Plant C,MC-006,Laser Cutter,3.9,Night,OP0058,K. Verma,Electronics Housing,Cast Iron,SteelCorp Ltd,150,518,513,11,A,Yes,35.3,41.76,78.0,52.7,4.88,93.73,21.31,191.93,10.58,77.7,14,Due,unknown issue,99.03,2.14
569,ORD-17455,2025-12-27,Plant A,MC-018,Laser Cutter,4.5,Morning,OP0058,Unknown,Electronics Housing,Steel,Precision Components Co,150,539,515,14,Not Graded,Yes,26.8,53.82,83.6,47.8,2.18,88.26,17.24,190.26,8.17,92.3,35,Scheduled,Power fluctuation,95.55,2.72
570,ORD-41312,2026-05-18,Plant C,MC-001,Welding Robot,11.1,Morning,OP0017,N. Fernandes,Medical Device Part,Aluminum,Global Alloys,300,480,461,13,A,No,16.0,51.66,80.1,37.5,1.69,120.56,43.16,538.33,8.77,53.0,11,Not Scheduled,No Remarks,96.04,2.82
571,ORD-56246,2025-12-08,Plant B,MC-018,Stamping Press,13.6,Morning,Unknown,K. Verma,Aerospace Component,Aluminum,SteelCorp Ltd,100,586,614,6,A+,Not Recorded,33.6,44.53,77.1,33.7,0.96,145.42,8.7,41.02,7.85,55.0,80,Not Scheduled,Material shortage,104.78,0.98
572,ORD-81688,2026-03-13,Plant A,MC-021,Laser Cutter,5.5,Evening,OP0120,Unknown,Electronics Housing,Aluminum,Precision Components Co,50,583,429,16,B,No,34.5,62.58,70.9,38.3,1.97,80.0,31.6,433.17,8.66,69.9,74,Not Scheduled,No Remarks,73.58,3.73
573,ORD-61306,2026-05-16,Plant B,MC-017,CNC Mill,3.2,Night,OP0020,R. Sharma,Medical Device Part,Aluminum,Unknown,200,487,466,8,B,Yes,34.1,43.3,70.2,57.0,0.86,126.22,33.58,197.77,5.49,66.7,28,Not Scheduled,unknown issue,95.69,1.72
574,ORD-88647,2026-02-07,Plant B,MC-034,Conveyor Unit,11.8,Morning,OP0108,K. Verma,Medical Device Part,Polycarbonate,Global Alloys,200,292,255,9,B,Yes,58.5,56.75,68.8,35.3,1.02,138.29,4.3,36.62,8.16,55.4,44,Not Scheduled,Routine check,87.33,3.53
575,ORD-47967,2026-07-13,Plant C,MC-013,3D Printer,14.3,Morning,OP0110,S. Kumar,Home Appliance Component,Steel,Global Alloys,250,445,391,6,B,No,341.0,42.59,79.2,57.9,2.83,187.05,13.02,51.9,8.64,45.7,44,OK,customer complaint logged,87.87,1.53
576,ORD-69503,2026-08-10,Plant A,MC-026,3D Printer,4.7,Morning,OP0050,P. Rao,Medical Device Part,Polycarbonate,Global Alloys,200,476,417,11,C,Yes,40.6,26.75,72.4,53.8,3.25,117.2,40.69,382.71,10.45,86.3,25,Not Scheduled,No Remarks,87.61,2.64
577,ORD-84608,2026-01-04,Plant C,MC-001,Stamping Press,13.4,Night,OP0065,Unknown,Metal Bracket,Cast Iron,Poly Materials Inc,200,418,405,8,A,Not Recorded,6.2,35.78,67.7,25.7,0.81,127.65,44.46,322.42,10.53,76.4,64,Not Scheduled,customer complaint logged,96.89,1.98
578,ORD-65050,2026-09-05,Plant B,MC-011,Stamping Press,11.3,Night,OP0045,R. Sharma,Electronics Housing,ABS Plastic,Poly Materials Inc,200,668,671,19,C,Not Recorded,16.9,68.88,60.3,42.0,2.23,116.24,5.93,108.84,7.39,76.2,58,OK,Power fluctuation,100.45,2.83
579,ORD-63230,2026-01-25,Plant C,MC-021,Assembly Line,1.7,Evening,OP0045,M. Naidu,Packaging Unit,Copper,SteelCorp Ltd,150,539,384,13,Not Graded,Yes,429.6,40.43,62.5,54.6,2.1,113.8,21.35,153.74,9.4,45.0,9,Overdue,Late shift start,71.24,3.39
580,ORD-20717,2026-06-27,Plant C,MC-006,Welding Robot,14.4,Morning,OP0017,P. Rao,Aerospace Component,Unknown,MetalWorks Pvt Ltd,150,565,427,12,A+,Not Recorded,3.3,36.96,60.1,58.8,0.47,120.79,8.61,75.66,7.23,40.5,66,Due,No Remarks,75.58,2.81
581,ORD-95601,2026-07-04,Plant B,MC-006,Press Brake,9.2,Morning,OP0037,M. Naidu,Consumer Plastics,Steel,Poly Materials Inc,150,634,702,21,Reject,Yes,0.2,45.23,66.4,54.6,3.67,116.16,37.94,702.56,9.25,49.6,8,Not Scheduled,Routine check,110.73,2.99
582,ORD-42377,2026-03-26,Plant D,MC-038,Conveyor Unit,1.7,Morning,OP0042,Unknown,Medical Device Part,Aluminum,Unknown,50,420,370,6,Not Graded,Not Recorded,3.9,34.85,52.3,58.7,3.36,75.44,11.49,52.57,8.24,50.0,4,Not Scheduled,Late shift start,88.1,1.62
583,ORD-13595,2026-01-15,Plant B,MC-017,Conveyor Unit,2.7,Morning,OP0004,L. D'Souza,Metal Bracket,Steel,Unknown,300,516,430,10,A,Yes,4.9,38.12,76.9,47.3,3.76,41.24,19.92,190.96,7.39,74.2,14,Scheduled,Line stopped briefly,83.33,2.33
584,ORD-27773,2026-05-17,Plant B,MC-012,Welding Robot,14.0,Morning,OP0020,S. Kumar,Home Appliance Component,Aluminum,Precision Components Co,200,365,342,8,A+,Not Recorded,20.7,46.04,73.0,40.7,2.39,139.47,32.37,144.16,7.82,42.4,43,Overdue,Line stopped briefly,93.7,2.34
585,ORD-18078,2026-03-02,Plant C,MC-035,Injection Molder,13.5,Evening,OP0050,L. D'Souza,Electronics Housing,Aluminum,Global Alloys,250,397,397,10,A+,Yes,5.5,23.51,70.8,47.2,1.23,51.57,40.94,235.31,4.67,86.5,22,Due,Line stopped briefly,100.0,2.52
586,ORD-29242,2026-06-13,Plant D,MC-011,Press Brake,0.3,Morning,OP0104,A. Iyer,Industrial Fastener,Steel,Global Alloys,300,572,603,13,B,Yes,22.3,30.9,73.8,41.9,4.15,154.97,32.5,306.81,7.93,62.2,40,Due,No Remarks,105.42,2.16
587,ORD-16119,2026-08-27,Plant C,MC-002,3D Printer,2.9,Morning,OP0018,S. Kumar,Electronics Housing,Aluminum,Poly Materials Inc,200,556,535,10,A+,Yes,0.9,47.2,70.6,65.4,2.34,71.04,22.13,182.25,7.58,48.6,64,Not Scheduled,No Remarks,96.22,1.87
588,ORD-88766,2026-07-29,Plant E,MC-007,Assembly Line,1.6,Morning,OP0044,A. Iyer,Packaging Unit,Steel,Poly Materials Inc,150,528,566,10,B,Not Recorded,30.3,46.84,63.1,47.6,3.37,116.56,20.28,145.51,7.39,65.6,55,Overdue,Late shift start,107.2,1.77
589,ORD-58688,2026-05-26,Plant B,MC-027,Assembly Line,13.5,Night,OP0039,K. Verma,Consumer Plastics,Copper,SteelCorp Ltd,100,568,588,10,B,No,36.2,48.46,77.9,51.2,4.45,126.25,20.82,115.33,8.2,92.4,35,Due,Routine check,103.52,1.7
590,ORD-37760,2026-04-11,Plant A,MC-003,Welding Robot,5.7,Morning,OP0024,A. Iyer,Home Appliance Component,Aluminum,Global Alloys,150,461,435,12,Not Graded,Yes,46.4,52.98,62.8,42.3,1.7,129.48,39.15,357.76,8.87,70.8,52,Scheduled,Late shift start,94.36,2.76
591,ORD-24366,2026-06-14,Plant A,MC-009,Assembly Line,4.0,Night,OP0066,S. Kumar,Home Appliance Component,Steel,Global Alloys,200,270,259,5,C,Not Recorded,9.2,51.61,84.6,47.7,2.31,87.2,36.75,156.99,8.83,71.9,29,Not Scheduled,No Remarks,95.93,1.93
592,ORD-63376,2026-02-21,Plant D,MC-024,Conveyor Unit,9.8,Evening,OP0108,K. Verma,Home Appliance Component,Unknown,Precision Components Co,150,497,467,11,Not Graded,No,31.7,49.35,61.9,43.6,0.65,115.84,6.02,61.19,7.28,40.2,26,OK,Late shift start,93.96,2.36
593,ORD-33697,2026-08-04,Plant B,MC-026,Laser Cutter,1.1,Evening,OP0119,M. Naidu,Packaging Unit,ABS Plastic,Global Alloys,50,599,597,10,B,Not Recorded,10.7,47.04,69.2,42.3,2.58,120.41,38.35,359.0,9.5,61.0,15,OK,Material shortage,99.67,1.68
594,ORD-23779,2026-04-11,Plant B,MC-033,Press Brake,3.3,Night,OP0065,Unknown,Electronics Housing,Steel,MetalWorks Pvt Ltd,300,352,335,5,Not Graded,Not Recorded,28.6,27.06,78.9,46.4,3.09,138.46,5.43,22.25,8.17,81.4,20,Due,OK,95.17,1.49
595,ORD-18038,2025-11-04,Plant A,MC-040,Laser Cutter,0.5,Night,OP0018,A. Iyer,Automotive Parts,Copper,Unknown,200,456,395,6,B,Yes,51.1,63.94,66.8,27.2,1.83,128.13,44.15,168.26,8.23,75.4,18,OK,Routine check,86.62,1.52
596,ORD-34729,2026-03-25,Plant C,MC-001,3D Printer,13.1,Evening,OP0032,Unknown,Electronics Housing,Unknown,Poly Materials Inc,200,652,555,12,C,Yes,5.4,48.86,46.4,61.7,2.97,67.48,13.43,118.77,7.28,67.8,4,OK,No Remarks,85.12,2.16
597,ORD-47219,2025-10-11,Unknown,MC-036,Stamping Press,13.8,Morning,OP0106,P. Rao,Packaging Unit,Copper,SteelCorp Ltd,200,578,589,14,B,Yes,0.3,47.81,70.2,31.5,1.73,125.65,22.95,265.38,8.51,83.0,31,OK,Routine check,101.9,2.38
598,ORD-97073,2025-12-29,Plant B,MC-023,Assembly Line,7.1,Evening,OP0006,Unknown,Consumer Plastics,Aluminum,Global Alloys,100,544,511,12,A+,Yes,15.8,34.23,62.1,38.4,1.69,129.38,15.93,109.64,8.32,64.6,1,Not Scheduled,Late shift start,93.93,2.35
599,ORD-10565,2026-01-28,Plant E,MC-002,Conveyor Unit,4.7,Unknown,OP0103,A. Iyer,Packaging Unit,Unknown,Global Alloys,50,553,485,12,A+,No,3.1,37.6,77.2,53.5,1.07,90.22,6.93,42.99,8.53,79.4,0,Overdue,No Remarks,87.7,2.47
600,ord4533,2026-05-19,Plant B,MC-027,CNC Lathe,3.2,Evening,OP0048,N. Fernandes,Packaging Unit,Steel,SteelCorp Ltd,200,541,522,13,B,Yes,19.9,53.51,67.2,62.3,1.22,183.03,27.23,301.87,7.98,55.6,11,Scheduled,Line stopped briefly,96.49,2.49
