Record_ID,Order_ID,Production_Date,Plant_Location,Machine_ID,Machine_Type,Machine_Age_Years,Shift,Operator_ID,Supervisor_Name,Product_Line,Raw_Material,Supplier_Name,Batch_Size,Planned_Quantity,Actual_Quantity_Produced,Defect_Count,Quality_Grade,Inspection_Passed,Downtime_Minutes,Cycle_Time_Sec,Temperature_C,Humidity_Pct,Vibration_mm_s,Energy_Consumption_kWh,Unit_Cost_USD,Scrap_Cost_USD,Labor_Hours,OEE_Percent,Last_Maintenance_Days_Ago,Maintenance_Status,Remarks
362,ORD-80994,2025-11-03,Plant A,MC-035,Welding Robot,12.4,NIGHT,OP0086,S. Kumar,Aerospace Component,steel,Precision Components Co,150.0,371.0,304.0,7.0,C,,31.0,38.58,53.9,40.0,0.93,133.33,20.49,76.27,8.05,51.3,39.0,ok,Routine check
363,ORD-99744,2025-12-12,Plant C,MC-039,Injection Molder,8.5,Night,OP0089,S. Kumar,Aerospace Component,Cast Iron,Poly Materials Inc,200.0,623.0,513.0,16.0,grade b,yes,33.1,53.01,57.1,55.0,2.45,142.76,22.07,211.01,6.54,90.1,26.0,Overdue,unknown issue
364,ORD-89707,2026-09-15,Plant E,MC-039,Press Brake,9.0,  Night  ,OP0116,,Aerospace Component,,Steelcorp Ltd.,50.0,478.0,417.0,7.0,Grade A,Yes,27.8,57.45,73.7,30.1,0.85,85.8,26.26,166.63,7.87,78.8,18.0,Overdue,  Late shift start 
365,ORD-63082,07-25-2026,Plant C,MC-005,Laser Cutter,5.7,Evening,OP0010,unknown,Industrial Fastener,Cast Iron,SteelCorp Ltd,,580.0,481.0,7.0,Grade A,N,31.8,54.93,66.0,49.0,0.37,113.55,32.88,157.61,8.05,71.5,13.0,,unknown issue
366,ORD-89022,29/11/2025,,MC-010,CNC Lathe,5.9,1st Shift,,M. Naidu,Medical Device Part,,global alloys,50.0,412.0,377.0,12.0,A+,Yes,15.2,30.7,76.3,55.1,1.72,113.05,16.1,106.55,9.24,58.8,32.0,Overdue,Line stopped briefly
367,ORD-58374,2026-06-21,,MC-027,CNC Lathe,9.2,1st Shift,OP0017,N. Fernandes,Home Appliance Component,steel,Poly Materials Inc,200.0,411.0,383.0,10.0,Grade A,yes,1.4,23.03,72.6,61.5,1.92,153.35,32.36,304.2,10.62,53.8,60.0,N/A,  Late shift start 
368,ORD-90350,29/06/2026,Plant C,MC-033,CNC Mill,14.2,Morning,OP0079,N. Fernandes,Packaging Unit,steel,Poly Materials Inc,300.0,587.0,499.0,10.0,A+,,40.5,55.93,63.0,50.8,0.63,135.76,10.45,61.34,8.42,78.5,13.0,Overdue,Line stopped briefly
369,ORD-52461,2026-08-13,Plant B,MC-004,3D Printer,9.3,1st Shift,OP0032,A. Iyer,Aerospace Component,,Steelcorp Ltd.,100.0,584.0,566.0,12.0,A,Yes,6.2,-45.21,71.0,65.1,0.4,136.85,37.14,273.9,9.44,89.5,54.0,DUE,Line stopped briefly
370,ORD-26248,08-Oct-2025,Plant E,MC-020,Stamping Press,0.9,Day,OP0059,K. Verma,Electronics Housing,Polycarbonate,Poly Materials Inc,250.0,439.0,427.0,10.0,C,,28.0,41.07,55.2,49.7,3.18,97.89,23.42,172.52,9.93,91.1,18.0,Due,unknown issue
371,ORD-34403,2025-12-05,Plant-D,MC-021,Welding Robot,4.4,Morning,OP0094,N. Fernandes,Home Appliance Component,steel,Steelcorp Ltd.,300.0,544.0,569.0,9.0,A,NO,22.2,30.7,60.6,56.1,4.54,84.98,21.64,101.08,6.71,53.6,40.0,,unknown issue
372,ORD-30305,2025-10-11,Plant C,MC-036,Press Brake,2.0,Night,OP0040,S. Kumar,Metal Bracket,ALUMINUM,,150.0,695.0,633.0,11.0,A,Yes,30.7,44.35,62.8,52.1,2.99,113.91,26.76,264.45,6.67,63.8,8.0,,N/A
373,ORD-43038,2026-03-16,Plant E,MC-019,CNC Mill,3.4,2nd Shift,OP0080,P. Rao,Consumer Plastics,ALUMINUM,Poly Materials Inc,250.0,521.0,479.0,10.0,,No,6.2,42.65,67.0,52.2,1.22,50.4,20.35,146.34,7.28,76.2,19.0,OK,Material shortage
374,ORD-70890,10-10-2025,Plant A,MC-031,Injection Molder,4.5,Night,OP0021,A. Iyer,Aerospace Component,steel,Global Alloys,150.0,586.0,581.0,15.0,C,NO,5.9,60.89,60.8,49.2,1.86,84.41,23.09,186.23,10.08,81.6,27.0,ok,OK
375,ORD-68566,2026/01/01 21:37,Plant-D,MC-017,Welding Robot,4.8,Evening,OP0107,A. Iyer,Metal Bracket,steel,,100.0,360.0,329.0,99999.0,A+,,518.2,52.85,80.6,50.1,1.03,150.17,15.14,,7.97,67.5,20.0,Overdue,Line stopped briefly
376,ORD-30219,02/09/2026,Plant E,MC-036,Welding Robot,7.2,Day,OP0068,M. Naidu,Packaging Unit,  ALUMINUM  ,global alloys,100.0,315.0,262.0,5.0,C,,16.0,32.29,63.6,65.2,0.62,140.55,26.51,126.34,10.83,75.7,56.0,Overdue,Line stopped briefly
377,ORD-76139,2026-06-27,Plant A,MC-010,Stamping Press,12.0,Evening,OP0115,N. Fernandes,Metal Bracket,,MetalWorks Pvt Ltd,,480.0,460.0,14.0,A,,5.7,36.86,74.3,39.0,2.79,101.56,12.14,169.31,7.99,67.0,9.0,DUE,unknown issue
378,ORD-23650,2025-10-25,Plant-D,MC-017,Assembly Line,2.8,Morning,OP0009,K. Verma,Medical Device Part,Aluminum,Precision Components Co,300.0,504.0,457.0,7.0,Grade A,,15.9,68.96,67.2,64.1,2.63,86.33,9.18,50.03,9.44,95.8,37.0,Due,
379,ORD-74886,2026/02/22 10:23,Plant A,MC-015,Stamping Press,13.9,Night,OP0071,,Medical Device Part,steel,Precision Components Co,50.0,562.0,552.0,13.0,Reject,No,4.7,40.5,62.1,29.5,2.97,148.77,16.7,126.77,9.45,71.7,3.0,ok,Line stopped briefly
380,ORD-88956,2026-07-28,,MC-021,Injection Molder,11.6,Day,OP0063,K. Verma,Packaging Unit,,Poly Materials Inc,150.0,373.0,378.0,6.0,Reject,yes,21.1,17.45,63.0,30.4,1.44,114.83,38.64,116.13,7.52,52.3,60.0,ok,OK
381,ORD-67539,05-Apr-2026,Plant A,MC-023,Stamping Press,2.7,morning,OP0120,K. Verma,Metal Bracket,ABS Plastic,Precision Components Co,200.0,600.0,552.0,11.0,B,Yes,16.7,54.04,67.7,33.9,3.15,136.05,13.37,137.86,7.4,57.6,9.0,Overdue,N/A
382,ORD-38378,27-Feb-2026,Plant C,MC-024,Welding Robot,9.4,Night,OP0009,"D'Souza, L.",Home Appliance Component,Steel,Steelcorp Ltd.,50.0,595.0,525.0,9.0,,Yes,38.7,54.85,68.0,26.7,3.67,96.68,12.49,86.08,7.8,83.7,67.0,ok,unknown issue
383,ORD-84091,2026-03-26,Plant A,MC-022,Welding Robot,7.8,Morning,OP0092,P. Rao,Metal Bracket,ALUMINUM,,,476.0,449.0,3.0,B,No,24.8,51.72,69.3,25.6,1.34,90.46,15.11,29.24,8.38,93.7,18.0,Due,Power fluctuation
384,ORD-37102,26/01/2026,Plant C,MC-023,Stamping Press,14.4,Day,OP0012,M. Naidu,Consumer Plastics,Aluminum,global alloys,100.0,412.0,408.0,5.0,C,Yes,17.5,60.55,61.5,53.9,1.85,117.75,13.78,41.0,8.29,75.5,42.0,,Routine check
385,ORD-89448,2026-01-16,  Plant A  ,MC-029,Injection Molder,11.5,Evening,OP0068,N. Fernandes,Home Appliance Component,Copper,SteelCorp Ltd,50.0,647.0,659.0,11.0,grade b,Yes,4.3,29.6,64.1,39.4,2.68,116.32,29.94,326.15,7.81,66.4,37.0,Overdue,
386,ORD-98312,13-Feb-2026,Plant E,MC-029,Stamping Press,4.8,Evening,OP0050,K. Verma,Electronics Housing,ABS Plastic,,250.0,583.0,558.0,9.0,B,,6.1,54.02,68.7,55.4,3.4,94.59,13.69,113.84,8.49,69.9,10.0,Overdue,Material shortage
387,ORD-83818,2026-06-13,Plant C,MC-011,Laser Cutter,8.3,1st Shift,OP0093,,Electronics Housing,  ABS Plastic  ,,,618.0,554.0,10.0,A+,,8.4,33.65,69.4,37.7,4.91,82.98,35.29,278.13,9.14,69.0,46.0,ok,Material shortage
388,ORD-57706,18/02/2026,Plant E,MC-015,Press Brake,12.9,Night,OP0038,N. Fernandes,Industrial Fastener,Cast Iron,SteelCorp Ltd,,474.0,484.0,17.0,,No,5.6,48.79,73.3,60.4,0.14,100.51,28.41,380.45,10.75,45.3,40.0,N/A,  Late shift start 
389,ORD-75390,2025/11/08 00:47,PLANT A,MC-013,Laser Cutter,5.0,Morning,OP0060,R. Sharma,Metal Bracket,ALUMINUM,Poly Materials Inc,200.0,579.0,581.0,4.0,A+,NO,25.2,35.85,61.1,33.7,3.18,113.22,29.72,111.95,7.8,96.8,8.0,,Routine check
390,ORD-65389,22/11/2025,Plant B,MC-007,CNC Mill,9.2,1st Shift,OP0061,unknown,Home Appliance Component,steel,,100.0,279.0,289.0,5.0,grade b,Yes,37.8,50.06,67.5,24.6,1.05,126.57,32.42,85.36,9.03,74.2,52.0,Due,unknown issue
391,ORD-93238,2026-07-22,Plant C,MC-021,CNC Mill,6.9,NIGHT,OP0107,unknown,Metal Bracket,ABS Plastic,Poly Materials Inc,250.0,587.0,548.0,3.0,A+,Yes,33.3,44.03,68.7,21.0,3.29,132.13,30.84,90.09,12.41,48.1,22.0,OK,Line stopped briefly
392,ORD-53254,2026/02/08 06:32,plant b,MC-007,Welding Robot,0.6,Morning,OP0057,,Consumer Plastics,Cast Iron,MetalWorks Pvt Ltd,100.0,396.0,421.0,7.0,grade b,,53.0,65.04,68.5,50.7,2.35,136.83,26.07,180.44,7.43,47.4,35.0,Due,Material shortage
393,ORD-42809,2026/04/30 19:28,Plant-D,MC-005,CNC Mill,7.2,,OP0029,N. Fernandes,Aerospace Component,  steel  ,  MetalWorks Pvt Ltd  ,,400.0,350.0,8.0,B,,0.8,66.62,86.2,67.0,1.85,57.63,21.67,164.09,7.39,75.0,59.0,OK,OK
394,ORD-97590,01-28-2026,Plant A,MC-010,CNC Mill,8.4,Morning,OP0105,P. Rao,Home Appliance Component,steel,SteelCorp Ltd,50.0,641.0,655.0,21.0,B,Y,31.3,31.35,78.9,65.8,3.61,76.4,6.51,86.04,7.43,88.2,8.0,DUE,Material shortage
395,ORD-96308,2025-11-01,PLANT A,MC-022,Press Brake,10.3,Night,OP0097,N. Fernandes,Consumer Plastics,,Steelcorp Ltd.,50.0,445.0,401.0,4.0,Grade A,Yes,5.2,45.32,45.9,49.3,2.89,137.53,38.5,118.37,7.79,59.8,7.0,DUE,Routine check
396,ORD-67564,2026/02/28 00:54,plant b,MC-015,3D Printer,5.2,Night,OP0009,  M. Naidu  ,Consumer Plastics,ABS Plastic,MetalWorks Pvt Ltd,100.0,557.0,545.0,8.0,Reject,Yes,31.9,51.19,78.8,49.2,0.17,128.42,2.74,14.97,7.88,97.2,37.0,,unknown issue
397,ORD-69208,03-22-2026,Plant B,MC-031,CNC Lathe,0.9,Night,OP0053,A. Iyer,Aerospace Component,ABS Plastic,SteelCorp Ltd,150.0,442.0,453.0,7.0,A,Yes,1.6,57.78,69.4,31.6,1.77,115.41,17.07,103.02,10.42,64.3,27.0,,
398,ORD-41476,12/12/2025,Plant A,MC-038,Assembly Line,0.6,Morning,OP0029,P. Rao,Industrial Fastener,  steel  ,Poly Materials Inc,150.0,780.0,704.0,13.0,Grade A,Yes,33.7,63.59,61.4,25.1,1.68,87.2,11.05,118.86,6.97,44.6,47.0,Overdue,Routine check
399,ORD-10188,10-29-2025,Plant C,MC-002,Assembly Line,2.8,Morning,OP0027,K. Verma,Aerospace Component,steel,,50.0,607.0,614.0,18.0,C,Yes,41.1,36.79,55.4,44.8,1.35,133.6,36.11,332.95,9.12,57.0,49.0,Overdue,OK
400,ORD-82323,2026-05-16,Plant-D,MC-002,Welding Robot,9.8,Day,OP0079,P. Rao,Industrial Fastener,Copper,MetalWorks Pvt Ltd,100.0,665.0,624.0,11.0,,Yes,14.9,-55.64,70.6,43.2,2.83,177.25,24.15,217.63,7.5,71.7,32.0,Scheduled,
401,ORD-73720,2025-12-31,Plant A,MC-003,Welding Robot,5.4,Day,OP0059,S. Kumar,Automotive Parts,ABS Plastic,Poly Materials Inc,,643.0,593.0,12.0,,yes,34.6,32.64,47.7,41.1,0.53,91.5,35.98,320.94,8.27,88.8,50.0,DUE,customer complaint logged
402,ORD-56720,10/11/2025,Plant E,MC-035,Press Brake,2.7,Evening,OP0097,K. Verma,Metal Bracket,Copper,,300.0,440.0,450.0,17.0,Reject,Yes,20.9,42.42,76.3,45.0,3.43,131.82,3.85,56.09,9.27,76.7,35.0,N/A,Routine check
403,ORD-89036,2026-07-13,Plant B,MC-037,Injection Molder,13.4,Day,OP0107,K. Verma,Aerospace Component,Copper,global alloys,250.0,765.0,735.0,13.0,A+,Yes,4.9,47.01,82.2,41.3,2.07,170.97,40.69,472.2,5.66,92.0,15.0,N/A,N/A
404,ORD-36502,12-Dec-2025,Plant C,MC-013,Assembly Line,7.6,Day,OP0103,unknown,Medical Device Part,,global alloys,150.0,403.0,366.0,6.0,Grade A,,3.2,58.45,82.4,63.3,3.08,111.16,23.47,123.3,7.99,50.3,32.0,Overdue,OK
405,ORD-60172,2026-09-06,Plant E,MC-039,Laser Cutter,0.8,Morning,OP0085,S. Kumar,Industrial Fastener,Aluminum,SteelCorp Ltd,250.0,516.0,497.0,8.0,B,Yes,45.2,18.05,82.2,40.1,2.77,141.66,42.23,309.08,5.93,88.4,34.0,N/A,
406,ORD-72540,29/10/2025,Plant E,MC-029,Stamping Press,13.6,Evening,OP0046,K. Verma,Packaging Unit,Aluminum,SteelCorp Ltd,50.0,769.0,840.0,15.0,Grade A,Yes,0.8,53.08,60.3,52.1,2.3,90.03,38.35,393.87,8.03,90.8,58.0,Scheduled,Line stopped briefly
407,ORD-77905,10/08/2026,Plant C,MC-014,Assembly Line,11.5,Morning,OP0057,P. Rao,Automotive Parts,steel,Global Alloys,150.0,347.0,354.0,4.0,A,Yes,41.9,46.44,74.7,57.1,2.61,88.62,14.27,31.66,8.26,54.0,53.0,N/A,
408,ORD-69582,11/04/2026,Plant B,MC-005,Press Brake,4.3,Night,OP0060,unknown,Electronics Housing,Aluminum,,50.0,547.0,491.0,11.0,B,No,5.3,31.83,71.1,33.1,2.45,124.93,40.49,293.35,8.21,70.7,14.0,Overdue,Power fluctuation
409,ORD-29762,01-02-2026,Plant B,MC-015,Assembly Line,5.9,1st Shift,OP0043,K. Verma,Packaging Unit,  Polycarbonate  ,Global Alloys,100.0,552.0,547.0,13.0,,No,14.9,53.02,58.2,40.4,3.0,149.72,12.49,121.82,8.68,80.9,28.0,Due,  Late shift start 
410,ORD-25892,2026-01-30,Plant-D,MC-004,3D Printer,4.6,1st Shift,OP0003,A. Iyer,Home Appliance Component,Copper,Steelcorp Ltd.,,361.0,344.0,6.0,A+,Yes,16.8,53.36,73.7,47.0,2.26,145.22,20.17,106.11,4.9,91.5,63.0,OK,
411,ORD-29025,2026-02-21,Plant A,MC-026,Injection Molder,11.4,Evening,OP0074,S. Kumar,Industrial Fastener,Polycarbonate,Precision Components Co,300.0,701.0,598.0,14.0,Reject,yes,23.5,33.74,69.9,32.7,3.53,157.15,33.54,307.33,9.63,75.9,29.0,,Material shortage
412,ORD-35928,2026/08/09 03:36,Plant B,MC-014,Press Brake,12.1,Morning,OP0010,S. Kumar,Industrial Fastener,ALUMINUM,SteelCorp Ltd,200.0,402.0,355.0,4.0,,NO,64.1,45.42,61.7,47.6,1.95,112.27,11.4,43.87,8.87,61.5,11.0,,unknown issue
413,ORD-28524,2026-02-03,,MC-032,3D Printer,10.6,Day,OP0074,R. Sharma,Electronics Housing,Copper,Precision Components Co,200.0,702.0,634.0,11.0,,,14.8,33.63,58.2,60.0,3.52,157.54,23.29,199.94,7.98,66.1,51.0,Scheduled,OK
414,ORD-75987,2026/07/26 09:01,plant b,MC-007,Laser Cutter,0.7,2nd Shift,OP0113,S. Kumar,Aerospace Component,Polycarbonate,Steelcorp Ltd.,250.0,690.0,678.0,15.0,A+,No,10.3,48.13,80.3,21.5,0.79,125.45,5.98,82.17,9.29,47.4,46.0,Due,customer complaint logged
415,ORD-70617,2026-04-04,Plant A,MC-035,Stamping Press,7.1,1st Shift,OP0104,N. Fernandes,Industrial Fastener,Aluminum,Global Alloys,,465.0,407.0,13.0,,Y,75.7,59.61,82.2,49.1,2.53,83.83,42.57,436.83,9.44,60.5,31.0,N/A,  Late shift start 
416,ORD-54849,2026/04/06 09:41,Plant B,MC-007,Stamping Press,12.6,Evening,OP0006,  K. Verma  ,Aerospace Component,,Precision Components Co,200.0,594.0,536.0,12.0,  C  ,Yes,22.0,47.92,48.5,53.6,1.8,186.69,11.73,71.65,9.7,97.1,59.0,OK,customer complaint logged
417,ORD-20812,19-Oct-2025,Plant A,MC-031,CNC Lathe,7.0,NIGHT,OP0027,P. Rao,Consumer Plastics,Copper,SteelCorp Ltd,100.0,425.0,379.0,11.0,,yes,73.7,52.88,81.4,53.6,1.41,127.01,15.8,164.0,9.51,47.2,1.0,OK,N/A
418,ORD-57798,10-21-2025,Plant A,MC-039,Conveyor Unit,1.3,morning,OP0031,P. Rao,Packaging Unit,ALUMINUM,Steelcorp Ltd.,250.0,400.0,373.0,4.0,  grade b  ,Yes,4.8,66.64,54.6,45.7,2.6,121.44,13.06,50.86,6.78,62.0,5.0,ok,N/A
419,ORD-32714,2026/08/02 18:30,Plant E,MC-017,Welding Robot,1.6,Night,OP0119,N. Fernandes,Metal Bracket,Aluminum,Precision Components Co,200.0,616.0,548.0,11.0,,,20.6,39.34,70.5,49.0,0.92,133.82,43.37,323.06,7.39,54.0,53.0,DUE,
420,ORD-49854,29/07/2026,Plant A,MC-040,Assembly Line,7.7,Evening,OP0057,N. Fernandes,Aerospace Component,Cast Iron,Poly Materials Inc,,572.0,560.0,12.0,  A  ,No,27.8,54.0,61.2,52.5,3.56,116.55,38.3,244.91,10.57,116.8,50.0,Scheduled,unknown issue
421,ORD-10514,26-Jul-2026,Plant B,MC-028,Injection Molder,7.4,Night,OP0054,S. Kumar,Consumer Plastics,ALUMINUM,MetalWorks Pvt Ltd,100.0,622.0,521.0,7.0,grade b,NO,10.1,61.48,66.2,31.2,1.52,75.96,26.41,136.93,7.73,88.9,43.0,Overdue,
422,ORD-43143,21-Dec-2025,Plant B,MC-006,Laser Cutter,14.1,Evening,OP0036,unknown,Consumer Plastics,ABS Plastic,,150.0,466.0,450.0,15.0,B,No,37.9,41.96,77.1,37.6,3.29,143.67,9.63,128.55,8.38,76.3,50.0,OK,unknown issue
423,ORD-84625,2026-02-28,Plant C,MC-035,Conveyor Unit,10.7,Evening,OP0101,R. Sharma,Packaging Unit,,MetalWorks Pvt Ltd,200.0,402.0,379.0,12.0,A+,Yes,37.5,35.78,71.6,51.1,2.42,200.37,31.28,257.31,7.47,80.5,57.0,Due,Power fluctuation
424,ORD-80327,10/08/2026,Plant E,MC-016,Welding Robot,7.0,Evening,OP0060,A. Iyer,Metal Bracket,Steel,SteelCorp Ltd,200.0,739.0,647.0,12.0,B,,54.8,39.63,80.3,45.1,0.83,190.05,40.14,304.14,9.97,81.3,34.0,Due,unknown issue
425,ORD-70725,08-29-2026,plant b,MC-015,Conveyor Unit,13.7,1st Shift,OP0021,,Electronics Housing,ABS Plastic,Precision Components Co,200.0,523.0,443.0,15.0,B,,13.2,42.47,61.9,43.7,1.42,157.25,42.34,335.22,7.88,40.6,4.0,OK,
426,ORD-40507,12/09/2026,Plant E,MC-002,Conveyor Unit,0.3,Day,OP0010,S. Kumar,Industrial Fastener,steel,Poly Materials Inc,50.0,449.0,369.0,7.0,C,Yes,10.0,46.28,80.6,41.3,1.83,152.71,9.93,57.97,8.38,93.1,38.0,N/A,customer complaint logged
427,ORD-80593,27/12/2025,plant b,MC-026,Conveyor Unit,8.1,Evening,OP0089,M. Naidu,Metal Bracket,Aluminum,Global Alloys,100.0,326.0,301.0,11.0,C,No,11.0,28.51,70.5,42.9,2.58,115.32,8.0,72.54,11.23,61.8,47.0,Overdue,unknown issue
428,ORD-97741,2026-04-20,,MC-020,CNC Lathe,4.2,Morning,OP0106,S. Kumar,Industrial Fastener,,Precision Components Co,200.0,449.0,-419.0,4.0,  grade b  ,,10.0,40.14,77.3,68.8,3.34,196.01,38.59,113.32,7.4,75.8,15.0,ok,Power fluctuation
429,ORD-24129,2026/02/21 10:02,Plant B,MC-033,Assembly Line,5.5,1st Shift,OP0013,"D'Souza, L.",Metal Bracket,Cast Iron,MetalWorks Pvt Ltd,250.0,409.0,430.0,11.0,Grade A,,32.9,85.78,72.1,45.3,0.67,53.85,26.81,202.87,10.14,89.5,32.0,N/A,customer complaint logged
430,ORD-92178,12-10-2025,Plant A,MC-019,Injection Molder,11.3,1st Shift,OP0002,K. Verma,Industrial Fastener,ABS Plastic,  Steelcorp Ltd.  ,300.0,712.0,592.0,14.0,A+,Yes,27.0,41.45,67.0,25.6,1.74,150.56,44.65,349.23,6.62,84.7,28.0,N/A,customer complaint logged
431,ORD-41871,2026/03/02 17:38,Plant C,MC-015,3D Printer,2.8,Morning,OP0068,K. Verma,Aerospace Component,Polycarbonate,,,546.0,557.0,12.0,Reject,,64.0,60.95,73.6,69.1,1.72,90.86,31.54,370.55,7.8,40.4,39.0,Scheduled,Line stopped briefly
432,ORD-57708,22/04/2026,Plant B,MC-038,CNC Mill,5.9,Morning,OP0116,A. Iyer,Metal Bracket,Steel,Poly Materials Inc,250.0,308.0,263.0,7.0,B,yes,10.8,60.42,62.8,56.5,0.31,132.48,36.94,185.64,8.71,56.4,20.0,,
433,ORD-11223,2025-11-01,plant b,MC-013,CNC Mill,7.5,  1st Shift  ,OP0037,,Home Appliance Component,Steel,MetalWorks Pvt Ltd,100.0,793.0,681.0,5.0,A+,Yes,50.7,44.17,60.6,48.2,3.44,65.66,43.3,182.41,9.05,51.6,30.0,DUE,N/A
434,ORD-86988,10/04/2026,Plant E,MC-035,Laser Cutter,14.4,Evening,OP0025,K. Verma,Electronics Housing,ABS Plastic,Precision Components Co,,359.0,379.0,6.0,Reject,No,34.0,30.02,67.4,46.8,2.13,160.92,21.99,88.05,7.88,70.7,44.0,N/A,Power fluctuation
435,ORD-69142,2025-12-22,Plant-D,MC-028,Injection Molder,10.6,Morning,OP0063,N. Fernandes,Automotive Parts,ABS Plastic,Poly Materials Inc,200.0,543.0,527.0,13.0,B,No,16.5,41.25,70.2,57.7,2.07,119.46,3.7,35.69,8.81,63.7,9.0,ok,OK
436,ORD-81842,17/10/2025,Plant B,MC-036,Conveyor Unit,8.7,Morning,OP0007,N. Fernandes,Home Appliance Component,,MetalWorks Pvt Ltd,,483.0,502.0,10.0,A,NO,45.0,40.6,86.1,48.6,1.0,166.69,31.26,195.02,7.12,64.1,13.0,Due,N/A
437,ORD-44406,17-Oct-2025,Plant A,MC-031,3D Printer,14.6,Evening,OP0069,A. Iyer,Consumer Plastics,Cast Iron,SteelCorp Ltd,,598.0,512.0,12.0,,No,42.7,41.45,78.9,23.9,4.98,122.01,39.18,355.34,7.04,67.9,32.0,OK,Line stopped briefly
438,ORD-64572,2025-11-04,Plant-D,MC-005,Laser Cutter,13.9,Evening,,K. Verma,Home Appliance Component,,Global Alloys,50.0,581.0,455.0,9.0,Grade A,Yes,33.9,57.13,75.2,36.6,2.5,158.42,41.01,187.05,10.04,74.8,41.0,N/A,unknown issue
439,ORD-42406,03-Oct-2025,PLANT A,MC-015,Injection Molder,2.8,NIGHT,OP0032,A. Iyer,Aerospace Component,ABS Plastic,,,533.0,469.0,6.0,,Y,38.8,62.43,71.3,52.0,1.28,150.69,44.6,207.11,8.92,63.9,48.0,Scheduled,Power fluctuation
440,ORD-18679,06-18-2026,Plant E,MC-003,CNC Lathe,8.1,Morning,,unknown,Industrial Fastener,  ALUMINUM  ,  Precision Components Co  ,200.0,781.0,785.0,16.0,A+,,6.6,43.38,56.9,40.1,4.46,140.27,38.27,365.35,6.25,52.7,20.0,Due,
441,ORD-80438,10-Apr-2026,Plant A,MC-023,CNC Lathe,14.2,1st Shift,OP0037,  K. Verma  ,Industrial Fastener,Copper,SteelCorp Ltd,50.0,415.0,380.0,6.0,A+,Yes,6.5,62.0,82.6,21.6,2.22,106.01,22.39,124.25,8.43,77.4,29.0,DUE,customer complaint logged
442,ORD-43893,11/07/2026,Plant B,MC-012,CNC Lathe,8.9,,OP0021,N. Fernandes,Home Appliance Component,Copper,MetalWorks Pvt Ltd,300.0,598.0,579.0,12.0,A,,58.1,8.87,74.2,43.1,1.0,148.04,17.73,181.74,8.63,92.5,9.0,Overdue,customer complaint logged
443,ord8319,2026-03-24,Plant A,MC-035,Conveyor Unit,11.7,Night,OP0118,N. Fernandes,Medical Device Part,Polycarbonate,Steelcorp Ltd.,250.0,615.0,596.0,14.0,A,Y,15.3,44.85,62.0,30.1,1.66,106.28,8.95,89.66,5.51,79.3,21.0,OK,OK
444,ORD-97713,31/01/2026,plant b,MC-005,Laser Cutter,7.9,Night,OP0064,P. Rao,Automotive Parts,Cast Iron,SteelCorp Ltd,100.0,711.0,659.0,16.0,C,yes,34.9,45.98,80.8,60.9,1.66,128.71,15.03,190.9,8.58,74.9,27.0,N/A,Material shortage
445,ORD-21937,2025-11-29,Plant B,MC-025,Injection Molder,0.6,Night,,R. Sharma,Electronics Housing,Copper,SteelCorp Ltd,300.0,567.0,552.0,4.0,A+,Yes,2.7,65.92,88.3,57.9,1.73,81.05,26.88,107.18,6.21,48.5,31.0,N/A,Power fluctuation
446,ORD-92436,2025-12-10,  Plant C  ,MC-022,CNC Lathe,9.5,Night,OP0051,K. Verma,Consumer Plastics,steel,,300.0,637.0,589.0,16.0,Reject,N,52.3,41.39,70.4,65.1,0.66,95.85,38.07,469.28,8.97,56.8,3.0,Due,Line stopped briefly
447,ORD-59638,08-10-2026,Plant A,MC-007,Laser Cutter,4.2,Day,OP0041,S. Kumar,Industrial Fastener,steel,Steelcorp Ltd.,150.0,455.0,499.0,12.0,,,6.8,52.24,63.1,43.0,2.15,,3.32,27.61,6.3,47.2,8.0,OK,customer complaint logged
448,ORD-58978,28-Jul-2026,PLANT A,MC-031,Press Brake,3.0,Morning,OP0110,P. Rao,Automotive Parts,Cast Iron,global alloys,50.0,455.0,409.0,9.0,B,Yes,22.3,43.06,63.2,24.1,1.23,111.49,19.78,143.09,6.58,85.4,44.0,Due,customer complaint logged
449,ORD-84404,2026-07-09,Plant A,MC-033,CNC Mill,1.5,Night,OP0086,,Packaging Unit,Polycarbonate,MetalWorks Pvt Ltd,300.0,386.0,416.0,11.0,Reject,Yes,38.1,51.55,71.6,56.8,2.77,150.05,12.56,113.62,8.82,62.9,13.0,Due,
450,ORD-22021,2026/09/13 20:46,PLANT A,MC-030,Welding Robot,3.6,Night,OP0105,N. Fernandes,Packaging Unit,Polycarbonate,Poly Materials Inc,100.0,634.0,656.0,9.0,A,,12.1,52.6,57.0,64.9,3.27,112.77,39.24,311.33,10.17,67.4,1.0,,Material shortage
451,ORD-88675,30/07/2026,PLANT A,MC-020,CNC Lathe,9.1,NIGHT,OP0001,unknown,Consumer Plastics,Steel,MetalWorks Pvt Ltd,300.0,444.0,,1.0,Grade A,Yes,19.1,44.64,52.9,42.5,2.07,154.64,42.63,40.49,6.8,74.2,24.0,,unknown issue
452,ORD-46313,31/08/2026,Plant B,MC-009,CNC Lathe,10.3,Evening,OP0089,"D'Souza, L.",Automotive Parts,Aluminum,Global Alloys,250.0,609.0,568.0,8.0,Grade A,,1.1,51.21,72.0,59.7,1.94,71.44,40.72,279.27,10.87,70.1,3.0,Overdue,Material shortage
